Date,Price,Open,High,Low,Vol.,Change %
7/1/2017,"2,424.60","2,480.60","2,529.60","2,387.50",66.32K,-2.26%
7/2/2017,"2,536.50","2,424.60","2,555.30","2,375.90",67.76K,4.61%
7/3/2017,"2,572.50","2,536.50","2,617.50","2,506.30",83.42K,1.42%
7/4/2017,"2,617.30","2,572.50","2,658.70","2,570.00",80.68K,1.74%
7/5/2017,"2,627.90","2,617.30","2,642.70","2,562.00",89.72K,0.40%
7/6/2017,"2,614.20","2,627.90","2,634.80","2,581.80",60.16K,-0.52%
7/7/2017,"2,513.90","2,614.20","2,617.50","2,484.70",90.45K,-3.84%
7/8/2017,"2,564.90","2,513.90","2,568.70","2,480.60",54.51K,2.03%
7/9/2017,"2,511.40","2,564.90","2,576.70","2,509.60",39.16K,-2.08%
7/10/2017,"2,344.00","2,511.40","2,530.30","2,271.80",123.80K,-6.67%
7/11/2017,"2,324.30","2,344.00","2,412.80","2,265.50",146.63K,-0.84%
7/12/2017,"2,403.10","2,324.30","2,424.80","2,262.10",109.52K,3.39%
7/13/2017,"2,362.40","2,403.10","2,436.70","2,335.00",88.17K,-1.69%
7/14/2017,"2,234.20","2,362.40","2,370.50","2,165.40",114.41K,-5.43%
7/15/2017,"1,975.10","2,234.20","2,237.10","1,974.00",155.32K,-11.60%
7/16/2017,"1,914.10","1,975.10","2,044.40","1,809.00",189.64K,-3.09%
7/17/2017,"2,233.40","1,914.10","2,233.80","1,913.80",176.89K,16.68%
7/18/2017,"2,320.20","2,233.40","2,400.70","2,164.60",202.62K,3.89%
7/19/2017,"2,282.60","2,320.20","2,412.40","2,243.10",154.32K,-1.62%
7/20/2017,"2,866.00","2,282.60","2,932.80","2,282.10",310.34K,25.56%
7/21/2017,"2,675.10","2,866.00","2,874.00","2,622.50",193.76K,-6.66%
7/22/2017,"2,836.50","2,675.10","2,876.70","2,658.60",121.92K,6.04%
7/23/2017,"2,756.60","2,836.50","2,856.70","2,675.60",108.23K,-2.82%
7/24/2017,"2,763.40","2,756.60","2,798.90","2,715.70",83.01K,0.25%
7/25/2017,"2,582.60","2,763.40","2,779.10","2,472.60",205.88K,-6.54%
7/26/2017,"2,559.20","2,582.60","2,631.70","2,441.50",135.50K,-0.90%
7/27/2017,"2,691.90","2,559.20","2,712.90","2,547.70",103.83K,5.18%
7/28/2017,"2,806.80","2,691.90","2,843.80","2,683.60",138.91K,4.27%
7/29/2017,"2,733.50","2,806.80","2,812.10","2,699.40",84.49K,-2.61%
7/30/2017,"2,766.50","2,733.50","2,773.10","2,621.70",82.72K,1.21%
7/31/2017,"2,883.30","2,766.50","2,916.30","2,723.10",91.12K,4.22%
8/1/2017,"2,747.00","2,883.30","2,946.00","2,659.60",123.17K,-4.73%
8/2/2017,"2,720.50","2,747.00","2,773.80","2,668.90",81.82K,-0.96%
8/3/2017,"2,810.00","2,720.50","2,822.90","2,717.60",68.10K,3.29%
8/4/2017,"2,878.50","2,810.00","2,892.70","2,779.50",68.76K,2.44%
8/5/2017,"3,262.80","2,878.50","3,344.00","2,875.90",159.40K,13.35%
8/6/2017,"3,232.00","3,262.80","3,295.10","3,166.50",60.66K,-0.94%
8/7/2017,"3,401.90","3,232.00","3,425.10","3,198.50",88.11K,5.26%
8/8/2017,"3,429.40","3,401.90","3,494.90","3,357.10",106.94K,0.81%
8/9/2017,"3,348.80","3,429.40","3,437.10","3,251.00",97.06K,-2.35%
8/10/2017,"3,425.70","3,348.80","3,453.80","3,322.90",71.00K,2.30%
8/11/2017,"3,654.40","3,425.70","3,706.50","3,409.80",97.56K,6.68%
8/12/2017,"3,871.60","3,654.40","3,967.30","3,611.40",123.59K,5.94%
8/13/2017,"4,062.60","3,871.60","4,189.40","3,847.30",158.59K,4.93%
8/14/2017,"4,327.90","4,062.60","4,336.70","3,978.90",128.46K,6.53%
8/15/2017,"4,161.70","4,327.90","4,436.50","3,837.10",211.58K,-3.84%
8/16/2017,"4,387.40","4,161.70","4,398.10","3,938.60",112.90K,5.42%
8/17/2017,"4,278.90","4,387.40","4,487.50","4,194.10",127.48K,-2.47%
8/18/2017,"4,105.40","4,278.90","4,362.70","3,978.30",144.40K,-4.06%
8/19/2017,"4,150.50","4,105.40","4,189.70","3,957.50",113.72K,1.10%
8/20/2017,"4,066.60","4,150.50","4,182.30","4,034.40",70.16K,-2.02%
8/21/2017,"4,005.10","4,066.60","4,097.30","3,966.90",90.65K,-1.51%
8/22/2017,"4,089.70","4,005.10","4,142.70","3,612.20",169.14K,2.11%
8/23/2017,"4,141.10","4,089.70","4,255.60","4,070.50",96.65K,1.26%
8/24/2017,"4,318.40","4,141.10","4,364.10","4,111.70",72.36K,4.28%
8/25/2017,"4,364.40","4,318.40","4,461.70","4,292.60",82.90K,1.07%
